Mar 30 12:49:53 dnsmasq[778]: cached github.com is NODATA-IPv6
Mar 30 12:49:53 dnsmasq[778]: query[A] api.github.com from 127.0.0.1
Mar 30 12:49:53 dnsmasq[778]: cached api.github.com is 140.82.113.6
Mar 30 12:49:53 dnsmasq[778]: query[AAAA] api.github.com from 127.0.0.1
Mar 30 12:49:53 dnsmasq[778]: cached api.github.com is NODATA-IPv6
Mar 30 12:49:53 dnsmasq[778]: query[A] github.com from 127.0.0.1
Mar 30 12:49:53 dnsmasq[778]: cached github.com is 140.82.113.3
Mar 30 12:49:53 dnsmasq[778]: query[AAAA] github.com from 127.0.0.1
Mar 30 12:49:53 dnsmasq[778]: cached github.com is NODATA-IPv6
Mar 30 12:53:52 dnsmasq[778]: query[A] changelogs.ubuntu.com from 127.0.0.1
Mar 30 12:53:52 dnsmasq[778]: forwarded changelogs.ubuntu.com to 192.168.10.1
Mar 30 12:53:52 dnsmasq[778]: query[AAAA] changelogs.ubuntu.com from 127.0.0.1
Mar 30 12:53:52 dnsmasq[778]: forwarded changelogs.ubuntu.com to 192.168.10.1
Mar 30 12:53:52 dnsmasq[778]: reply changelogs.ubuntu.com is 2620:2d:4000:1::2b
Mar 30 12:53:52 dnsmasq[778]: reply changelogs.ubuntu.com is 2620:2d:4000:1::2a
Mar 30 12:53:52 dnsmasq[778]: reply changelogs.ubuntu.com is 91.189.91.49
Mar 30 12:53:52 dnsmasq[778]: reply changelogs.ubuntu.com is 185.125.190.17
Mar 30 12:53:52 dnsmasq[778]: reply changelogs.ubuntu.com is 185.125.190.18
Mar 30 12:53:52 dnsmasq[778]: reply changelogs.ubuntu.com is 91.189.91.48
Mar 30 12:54:26 dnsmasq[778]: query[A] api.snapcraft.io from 127.0.0.1
Mar 30 12:54:26 dnsmasq[778]: forwarded api.snapcraft.io to 192.168.10.1
Mar 30 12:54:26 dnsmasq[778]: query[AAAA] api.snapcraft.io from 127.0.0.1
Mar 30 12:54:26 dnsmasq[778]: cached api.snapcraft.io is NODATA-IPv6
Mar 30 12:54:26 dnsmasq[778]: reply api.snapcraft.io is 185.125.188.54
Mar 30 12:54:26 dnsmasq[778]: reply api.snapcraft.io is 185.125.188.55
Mar 30 12:54:26 dnsmasq[778]: reply api.snapcraft.io is 185.125.188.59
Mar 30 12:54:26 dnsmasq[778]: reply api.snapcraft.io is 185.125.188.58
Mar 30 12:54:55 dnsmasq[778]: query[A] yahoo.com from 127.0.0.1
Mar 30 12:54:55 dnsmasq[778]: forwarded yahoo.com to 192.168.10.1
Mar 30 12:54:55 dnsmasq[778]: query[AAAA] yahoo.com from 127.0.0.1
Mar 30 12:54:55 dnsmasq[778]: forwarded yahoo.com to 192.168.10.1
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 74.6.143.26
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 98.137.11.163
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 74.6.231.21
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 74.6.231.20
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 98.137.11.164
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 74.6.143.25
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 2001:4998:124:1507::f000
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 2001:4998:44:3507::8001
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 2001:4998:44:3507::8000
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 2001:4998:24:120d::1:0
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 2001:4998:24:120d::1:1
Mar 30 12:54:55 dnsmasq[778]: reply yahoo.com is 2001:4998:124:1507::f001
Mar 30 12:55:02 dnsmasq[778]: query[A] yahoo.com from 127.0.0.1
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 74.6.143.26
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 98.137.11.163
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 74.6.231.21
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 74.6.231.20
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 98.137.11.164
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 74.6.143.25
Mar 30 12:55:02 dnsmasq[778]: query[AAAA] yahoo.com from 127.0.0.1
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 2001:4998:124:1507::f000
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 2001:4998:44:3507::8001
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 2001:4998:44:3507::8000
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 2001:4998:24:120d::1:0
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 2001:4998:24:120d::1:1
Mar 30 12:55:02 dnsmasq[778]: cached yahoo.com is 2001:4998:124:1507::f001
Mar 30 12:57:37 dnsmasq[778]: query[A] spocs.getpocket.com from 192.168.10.9
Mar 30 12:57:37 dnsmasq[778]: forwarded spocs.getpocket.com to 192.168.10.1
Mar 30 12:57:37 dnsmasq[778]: query[AAAA] spocs.getpocket.com from 192.168.10.9
Mar 30 12:57:37 dnsmasq[778]: forwarded spocs.getpocket.com to 192.168.10.1
Mar 30 12:57:37 dnsmasq[778]: query[A] spocs.getpocket.com from 192.168.10.9
Mar 30 12:57:37 dnsmasq[778]: query[A] getpocket.cdn.mozilla.net from 192.168.10.9
Mar 30 12:57:37 dnsmasq[778]: forwarded getpocket.cdn.mozilla.net to 192.168.10.1
Mar 30 12:57:37 dnsmasq[778]: query[AAAA] getpocket.cdn.mozilla.net from 192.168.10.9
Mar 30 12:57:37 dnsmasq[778]: forwarded getpocket.cdn.mozilla.net to 192.168.10.1
Mar 30 12:57:37 dnsmasq[778]: query[A] getpocket.cdn.mozilla.net from 192.168.10.9
Mar 30 12:57:37 dnsmasq[778]: query[PTR] 9.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 12:57:37 dnsmasq[778]: config 192.168.10.9 is NXDOMAIN
Mar 30 12:57:37 dnsmasq[778]: query[PTR] 9.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 12:57:37 dnsmasq[778]: config 192.168.10.9 is NXDOMAIN
Mar 30 12:57:37 dnsmasq[778]: reply spocs.getpocket.com is <CNAME>
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is 54.166.225.128
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is 54.165.39.203
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is 52.44.135.59
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is 54.152.110.245
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is 54.145.6.104
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is 50.16.121.128
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is 52.0.203.209
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is 3.218.246.95
Mar 30 12:57:37 dnsmasq[778]: reply spocs.getpocket.com is <CNAME>
Mar 30 12:57:37 dnsmasq[778]: reply proxyserverecs-1736642167.us-east-1.elb.amazonaws.com is NODATA-IPv6
Mar 30 12:57:37 dnsmasq[778]: reply getpocket.cdn.mozilla.net is <CNAME>
Mar 30 12:57:37 dnsmasq[778]: reply getpocket-cdn.prod.mozaws.net is <CNAME>
Mar 30 12:57:37 dnsmasq[778]: reply prod.pocket.prod.cloudops.mozgcp.net is 34.120.5.221
Mar 30 12:57:37 dnsmasq[778]: reply getpocket.cdn.mozilla.net is <CNAME>
Mar 30 12:57:37 dnsmasq[778]: reply getpocket-cdn.prod.mozaws.net is <CNAME>
Mar 30 12:57:37 dnsmasq[778]: reply prod.pocket.prod.cloudops.mozgcp.net is 2600:1901:0:524c::
Mar 30 12:57:55 dnsmasq[778]: query[A] www.yahoo.com from 192.168.10.9
Mar 30 12:57:55 dnsmasq[778]: forwarded www.yahoo.com to 192.168.10.1
Mar 30 12:57:55 dnsmasq[778]: query[AAAA] www.yahoo.com from 192.168.10.9
Mar 30 12:57:55 dnsmasq[778]: forwarded www.yahoo.com to 192.168.10.1
Mar 30 12:57:55 dnsmasq[778]: query[A] www.yahoo.com from 192.168.10.9
Mar 30 12:57:55 dnsmasq[778]: reply www.yahoo.com is <CNAME>
Mar 30 12:57:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 98.137.11.164
Mar 30 12:57:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 74.6.231.21
Mar 30 12:57:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 98.137.11.163
Mar 30 12:57:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 74.6.231.20
Mar 30 12:57:56 dnsmasq[778]: reply www.yahoo.com is <CNAME>
Mar 30 12:57:56 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 2001:4998:124:1507::f000
Mar 30 12:57:56 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 2001:4998:24:120d::1:1
Mar 30 12:57:56 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 2001:4998:44:3507::8001
Mar 30 12:57:56 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 2001:4998:124:1507::f001
Mar 30 13:00:00 dnsmasq[778]: query[PTR] 9.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 13:00:00 dnsmasq[778]: config 192.168.10.9 is NXDOMAIN
Mar 30 13:00:00 dnsmasq[778]: query[PTR] 9.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 13:00:00 dnsmasq[778]: config 192.168.10.9 is NXDOMAIN
Mar 30 13:00:00 dnsmasq[778]: query[PTR] 1.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 13:00:00 dnsmasq[778]: config 192.168.10.1 is NXDOMAIN
Mar 30 13:00:00 dnsmasq[778]: query[PTR] 1.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 13:00:00 dnsmasq[778]: config 192.168.10.1 is NXDOMAIN
Mar 30 13:00:33 dnsmasq[778]: query[A] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is 0.0.0.0
Mar 30 13:00:33 dnsmasq[778]: query[AAAA] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is ::
Mar 30 13:00:33 dnsmasq[778]: query[A] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is 0.0.0.0
Mar 30 13:00:33 dnsmasq[778]: query[AAAA] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is ::
Mar 30 13:00:33 dnsmasq[778]: query[A] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is 0.0.0.0
Mar 30 13:00:33 dnsmasq[778]: query[AAAA] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is ::
Mar 30 13:00:33 dnsmasq[778]: query[A] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is 0.0.0.0
Mar 30 13:00:33 dnsmasq[778]: query[AAAA] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is ::
Mar 30 13:00:33 dnsmasq[778]: query[A] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is 0.0.0.0
Mar 30 13:00:33 dnsmasq[778]: query[AAAA] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is ::
Mar 30 13:00:33 dnsmasq[778]: query[A] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is 0.0.0.0
Mar 30 13:00:33 dnsmasq[778]: query[AAAA] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is ::
Mar 30 13:00:33 dnsmasq[778]: query[A] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is 0.0.0.0
Mar 30 13:00:33 dnsmasq[778]: query[AAAA] incoming.telemetry.mozilla.org from 192.168.10.9
Mar 30 13:00:33 dnsmasq[778]: gravity blocked incoming.telemetry.mozilla.org is ::
Mar 30 13:02:30 dnsmasq[778]: query[A] versioncheck.graylog.com from 192.168.10.7
Mar 30 13:02:30 dnsmasq[778]: forwarded versioncheck.graylog.com to 192.168.10.1
Mar 30 13:02:30 dnsmasq[778]: query[AAAA] versioncheck.graylog.com from 192.168.10.7
Mar 30 13:02:30 dnsmasq[778]: forwarded versioncheck.graylog.com to 192.168.10.1
Mar 30 13:02:30 dnsmasq[778]: reply versioncheck.graylog.com is 2606:4700:3108::ac42:283d
Mar 30 13:02:30 dnsmasq[778]: reply versioncheck.graylog.com is 2606:4700:3108::ac42:2bc3
Mar 30 13:02:30 dnsmasq[778]: query[A] api.graylog.com from 192.168.10.7
Mar 30 13:02:30 dnsmasq[778]: forwarded api.graylog.com to 192.168.10.1
Mar 30 13:02:30 dnsmasq[778]: query[AAAA] api.graylog.com from 192.168.10.7
Mar 30 13:02:30 dnsmasq[778]: forwarded api.graylog.com to 192.168.10.1
Mar 30 13:02:30 dnsmasq[778]: reply versioncheck.graylog.com is 172.66.43.195
Mar 30 13:02:30 dnsmasq[778]: reply versioncheck.graylog.com is 172.66.40.61
Mar 30 13:02:30 dnsmasq[778]: reply api.graylog.com is 172.66.40.61
Mar 30 13:02:30 dnsmasq[778]: reply api.graylog.com is 172.66.43.195
Mar 30 13:02:30 dnsmasq[778]: reply api.graylog.com is 2606:4700:3108::ac42:2bc3
Mar 30 13:02:30 dnsmasq[778]: reply api.graylog.com is 2606:4700:3108::ac42:283d
Mar 30 13:02:30 dnsmasq[778]: query[PTR] 7.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 13:02:30 dnsmasq[778]: config 192.168.10.7 is NXDOMAIN
Mar 30 13:02:30 dnsmasq[778]: query[PTR] 7.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 13:02:30 dnsmasq[778]: config 192.168.10.7 is NXDOMAIN
Mar 30 13:02:54 dnsmasq[778]: query[A] graylog-server.localdomain from 192.168.10.7
Mar 30 13:02:54 dnsmasq[778]: forwarded graylog-server.localdomain to 192.168.10.1
Mar 30 13:02:54 dnsmasq[778]: query[AAAA] graylog-server.localdomain from 192.168.10.7
Mar 30 13:02:54 dnsmasq[778]: forwarded graylog-server.localdomain to 192.168.10.1
Mar 30 13:02:54 dnsmasq[778]: reply graylog-server.localdomain is NXDOMAIN
Mar 30 13:02:54 dnsmasq[778]: reply graylog-server.localdomain is NXDOMAIN
Mar 30 13:02:54 dnsmasq[778]: query[A] graylog-server from 192.168.10.7
Mar 30 13:02:54 dnsmasq[778]: config graylog-server is NXDOMAIN
Mar 30 13:02:54 dnsmasq[778]: query[AAAA] graylog-server from 192.168.10.7
Mar 30 13:02:54 dnsmasq[778]: config graylog-server is NXDOMAIN
Mar 30 13:02:54 dnsmasq[778]: query[PTR] 7.10.168.192.in-addr.arpa from 192.168.10.7
Mar 30 13:02:54 dnsmasq[778]: config 192.168.10.7 is NXDOMAIN
Mar 30 13:02:55 dnsmasq[778]: query[A] www.yahoo.com from 192.168.10.9
Mar 30 13:02:55 dnsmasq[778]: forwarded www.yahoo.com to 192.168.10.1
Mar 30 13:02:55 dnsmasq[778]: query[AAAA] www.yahoo.com from 192.168.10.9
Mar 30 13:02:55 dnsmasq[778]: forwarded www.yahoo.com to 192.168.10.1
Mar 30 13:02:55 dnsmasq[778]: query[A] www.yahoo.com from 192.168.10.9
Mar 30 13:02:55 dnsmasq[778]: reply www.yahoo.com is <CNAME>
Mar 30 13:02:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 98.137.11.164
Mar 30 13:02:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 74.6.143.25
Mar 30 13:02:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 74.6.231.20
Mar 30 13:02:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 98.137.11.163
Mar 30 13:02:55 dnsmasq[778]: reply www.yahoo.com is <CNAME>
Mar 30 13:02:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 2001:4998:44:3507::8001
Mar 30 13:02:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 2001:4998:44:3507::8000
Mar 30 13:02:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 2001:4998:124:1507::f001
Mar 30 13:02:55 dnsmasq[778]: reply new-fp-shed.wg1.b.yahoo.com is 2001:4998:24:120d::1:1
Mar 30 13:05:46 dnsmasq[778]: query[A] mirrors.rockylinux.org from 192.168.10.7
Mar 30 13:05:46 dnsmasq[778]: forwarded mirrors.rockylinux.org to 192.168.10.1
Mar 30 13:05:46 dnsmasq[778]: query[AAAA] mirrors.rockylinux.org from 192.168.10.7
Mar 30 13:05:46 dnsmasq[778]: forwarded mirrors.rockylinux.org to 192.168.10.1
Mar 30 13:05:46 dnsmasq[778]: reply mirrors.rockylinux.org is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: reply dualstack.dl.map.rockylinux.org is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: reply rockylinux.map.fastly.net is 146.75.106.132
Mar 30 13:05:46 dnsmasq[778]: reply mirrors.rockylinux.org is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: reply dualstack.dl.map.rockylinux.org is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: reply rockylinux.map.fastly.net is 2a04:4e42:8a::644
Mar 30 13:05:46 dnsmasq[778]: query[A] rocky-linux-us-east5.production.gcp.mirrors.ctrliq.cloud from 192.168.10.7
Mar 30 13:05:46 dnsmasq[778]: forwarded rocky-linux-us-east5.production.gcp.mirrors.ctrliq.cloud to 192.168.10.1
Mar 30 13:05:46 dnsmasq[778]: query[AAAA] rocky-linux-us-east5.production.gcp.mirrors.ctrliq.cloud from 192.168.10.7
Mar 30 13:05:46 dnsmasq[778]: forwarded rocky-linux-us-east5.production.gcp.mirrors.ctrliq.cloud to 192.168.10.1
Mar 30 13:05:46 dnsmasq[778]: reply rocky-linux-us-east5.production.gcp.mirrors.ctrliq.cloud is 34.120.179.53
Mar 30 13:05:46 dnsmasq[778]: reply rocky-linux-us-east5.production.gcp.mirrors.ctrliq.cloud is NODATA-IPv6
Mar 30 13:05:46 dnsmasq[778]: query[A] mirrors.rockylinux.org from 192.168.10.7
Mar 30 13:05:46 dnsmasq[778]: cached mirrors.rockylinux.org is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: cached dualstack.dl.map.rockylinux.org is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: cached rockylinux.map.fastly.net is 146.75.106.132
Mar 30 13:05:46 dnsmasq[778]: query[AAAA] mirrors.rockylinux.org from 192.168.10.7
Mar 30 13:05:46 dnsmasq[778]: cached mirrors.rockylinux.org is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: cached dualstack.dl.map.rockylinux.org is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: cached rockylinux.map.fastly.net is 2a04:4e42:8a::644
Mar 30 13:05:46 dnsmasq[778]: query[A] mirrors.egr.msu.edu from 192.168.10.7
Mar 30 13:05:46 dnsmasq[778]: forwarded mirrors.egr.msu.edu to 192.168.10.1
Mar 30 13:05:46 dnsmasq[778]: query[AAAA] mirrors.egr.msu.edu from 192.168.10.7
Mar 30 13:05:46 dnsmasq[778]: forwarded mirrors.egr.msu.edu to 192.168.10.1
Mar 30 13:05:46 dnsmasq[778]: reply mirrors.egr.msu.edu is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: reply replicant.egr.msu.edu is 35.9.37.146
Mar 30 13:05:46 dnsmasq[778]: reply mirrors.egr.msu.edu is <CNAME>
Mar 30 13:05:46 dnsmasq[778]: reply replicant.egr.msu.edu is NODATA-IPv6
